Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
4381,Jaster-Quintanilla,22,$15.3 million,Engineering,Austin,TX,http://www.inc.com/inc5000/profile/jaster-quintanilla,http://www.jqeng.com/,"Jaster-Quintanilla provides structural engineering, civil engineering, land surveying, and facility assessments throughout Texas and the southern United States, and has offices in Austin, Dallas, Fort Worth, and San Antonio.",$12.6 million,125,1984,#89
4382,Sundt Construction,22,$883.4 million,Construction,Tempe,AZ,http://www.inc.com/inc5000/profile/sundt-construction,http://www.sundt.com/,"Sundt Construction works on a variety of projects for private and public clients, including highways, dams, pipelines, and airport facilities.",$726.4 million,1110,1890,#180
4383,Rainbow Station,22,$7.4 million,Education,Glen Allen,VA,http://www.inc.com/inc5000/profile/rainbow-station,http://www.rainbowstation.org,"Rainbow Station is a national, accredited preschool and afterschool recreation center that provides all-day care for children from six months through 13 years with a blend of proprietary curriculum-based work-play, child-choice afterschool recreation programs and on-site infirmary-based care for mildly-ill children.",$6.1 million,350,1989,#67
4384,Urban Science,22,$84.5 million,Business Products & Services,Detroit,MI,http://www.inc.com/inc5000/profile/urban-science,http://www.urbanscience.com,"Urban Science uses software developed in-house to provide retail performance consulting services with a focus on data collection and analysis. Its products facilitate statistical modeling, market benchmarking, segmentation analysis, market profiling and advanced data mining. Recently, data collected on the auto industry and dealerships gathered by Urban Science was featured in USA Today, as this data shows the sharpest decline on record.",$69.5 million,272,1977,#476
4385,Finale Desserterie & Bakery,22,$5.7 million,Food & Beverage,Allston,MA,http://www.inc.com/inc5000/profile/finale-desserterie-bakery,http://www.finaledesserts.com,"Finale Desserterie & Bakery operates upscale dessert-focused restaurants in Massachusetts as well as over the Internet and wholesale to local, regional, and national restaurant chains.",$4.7 million,150,1997,#131
4386,Avondale Partners,21,$24.1 million,Financial Services,Nashville,TN,http://www.inc.com/inc5000/profile/avondale-partners,http://www.avondalepartnersllc.com,"Avondale Partners provides investment banking services, equity research, sales and trading services to institutional investors, and asset and risk management services.",$19.9 million,103,2001,#206
4387,Insurance Office of America,21,$79.8 million,Insurance,Longwood,FL,http://www.inc.com/inc5000/profile/insurance-office-of-america,http://www.ioausa.com,"Insurance Office of America is a full-service insurance agency that handles all lines of insurance including commercial, personal, bonds, life, and health.",$65.7 million,351,1988,#61
4388,Perkins Coie,21,$433 million,Business Products & Services,Perkins,WA,http://www.inc.com/inc5000/profile/perkins-coie,http://www.perkinscoie.com/,"With more than 700 lawyers in 17 offices across the U.S. and in China, Perkins Coie represents companies across a wide range of industries and stages of growth from start-ups to multinational corporations. The firm was named one of the Best Law Firms for Women by Working Mother magazine and Flex Time Lawyers. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$356.5 million,670,1912,#477
4389,Cases By Source,21,$5.1 million,Manufacturing,Mahwah,NJ,http://www.inc.com/inc5000/profile/cases-by-source,http://www.casesbysource.com,"Cases By Source designs and manufactures custom protective cases from plastic, metal, and wood, with or without foam interiors.",$4.2 million,15,1985,#173
4390,DGE,21,$5.3 million,Engineering,Rochester Hills,MI,http://www.inc.com/inc5000/profile/dge,http://www.dgeinc.com,"DGE derforms electrical engineering and design services, including hardware and software design, for OEMs and tier suppliers in the automotive industry. The company specializes in engine control units (ECUs), as well as ECU tester and simulator equipment.",$4.4 million,27,1984,#90
4391,Inkgrabber.com,21,$5.4 million,Business Products & Services,Simi Valley,CA,http://www.inc.com/inc5000/profile/inkgrabbercom,http://www.inkgrabber.com,"Inkgrabber.com sells printer ink cartridges, toner cartridges, copier toner and fax cartridges online.",$4.5 million,23,2003,#478
4392,Richland,21,$11.9 million,Construction,Pulaski,TN,http://www.inc.com/inc5000/profile/richland,http://www.richlandllc.com,"Richland is an industrial contractor and custom metal fabricator for waste water treatment facilities, equipment manufacturers, automotive suppliers, and local government agencies.",$9.8 million,83,1999,#181
4393,Syncroness,21,$6.2 million,Engineering,Westminster,CO,http://www.inc.com/inc5000/profile/syncroness,http://www.syncroness.com,"Syncroness offers product development and engineering services to medical, scientific, transportation, security, aerospace, consumer, and industrial markets.",$5.1 million,51,1998,#91
4394,Partners + Napier,21,$16.2 million,Advertising & Marketing,Rochester,NY,http://www.inc.com/inc5000/profile/partners-napier,http://www.partnersandnapier.com,Partners + Napier is an advertising agency that recently won Small Agency of the Year at the Ad Age Small Agency Conference in New Orleans.,$13.4 million,150,2004,#373
4395,Jackson Walker,21,$173.5 million,Business Products & Services,Dallas,TX,http://www.inc.com/inc5000/profile/jackson-walker,http://www.jw.com,"Jackson Walker represents clients in corporate and securities, litigation, intellectual property, health care, energy, labor and employment, legislative and regulatory, real estate, tax and estate planning, technology, bankruptcy, aviation, and international law. Clients include multinational corporations, major financial institutions, and a wide range of publicly traded corporations and closely held businesses. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$143 million,315,1887,#479
4396,United Source One,21,$54.3 million,Food & Beverage,Belcamp,MD,http://www.inc.com/inc5000/profile/united-source-one,http://www.unitedsourceone.com,"United Source One is a global, full-service food supplier that exports to 10 foreign markets and handles foodstuff sourcing, product development, procurement, storage and distribution, repackaging and labeling, export documentation, and foreign language logistics for commercial and military customers.",$44.8 million,75,2000,#132
4397,CJ Pony Parts,21,$17.1 million,Retail,Harrisburg,PA,http://www.inc.com/inc5000/profile/cj-pony-parts,http://www.cjponyparts.com,CJ Pony Parts sells automobile parts online with a specialty in providing parts for Ford Mustangs.,$14.1 million,55,1985,#200
4398,Able Patrol and Guard,21,$3.3 million,Security,San Diego,CA,http://www.inc.com/inc5000/profile/able-patrol-and-guard,http://www.ablepatrolandguard.com,"Able Patrol and Guard is a professonal security service provider. APG provides uniformed security officers, marked vehicle mobile patrol services, alarm response and remote location CCTV monitoring.",$2.7 million,125,1964,#75
4399,Tenmast Software,21,$6.8 million,Software,Lexington,KY,http://www.inc.com/inc5000/profile/tenmast-software,http://www.tenmast.com,Tenmast Software develops software systems and provides data management services for the public housing industry.,$5.6 million,58,1998,#254
4400,PrintFlex Graphics,21,$6.4 million,Business Products & Services,St. Louis,MO,http://www.inc.com/inc5000/profile/printflex-graphics,http://www.print-flex.com,"PrintFlex Graphics manufactures and prints labels, stickers, and coupons for consumer-products companies.",$5.3 million,28,1995,#480
4401,Aspen Transportation,21,$9.2 million,Logistics & Transportation,Jonesboro,AR,http://www.inc.com/inc5000/profile/aspen-transportation,http://www.aspentransportation.com,"Aspen Transportation offers services to optimize its customers' supply chains, including third-party trucking, Web-based transportation management technology, logistics consulting, and auditing and payment outsourcing.",$7.6 million,16,2002,#87
4402,Affinion Group Holdings,21,$1.4 billion,Advertising & Marketing,Stamford,CT,http://www.inc.com/inc5000/profile/affinion-group-holdings,http://www.affiniongroup.com,"Affinion Group Holdings provides marketing services through direct mail, telemarketing, database modeling, online marketing and customer acquisition.",$1.1 billion,3600,2005,#374
4403,R2C Group,21,$293.2 million,Advertising & Marketing,Portland,OR,http://www.inc.com/inc5000/profile/r2c-group,http://www.r2cgroup.com,"R2C Group specializes in direct-response television, media buying, interactive, new media, and marketing strategy.",$242.3 million,188,1998,#375
4404,Fuse,21,$9.6 million,Advertising & Marketing,Winooski,VT,http://www.inc.com/inc5000/profile/fuse,http://www.fusemarketing.com,"Fuse provides brand strategy, event marketing, PR, and interactive services to brands that seek to connect with teens and young adults through sports, music, fashion and gaming. Its clients include Pepsi's Mountain Dew and Amp Energy, Gatorade, Converse and General Mills.",$7.9 million,38,1995,#376
4405,CoreMedical Group,21,$46.9 million,Health,Salem,NH,http://www.inc.com/inc5000/profile/coremedical-group,http://www.coremedicalgroup.com,"CoreMedical Group provides temporary and permanent medical, administrative, and managerial staffing in the health care sector.",$38.8 million,0,2000,#367
4406,Fuel Belt,21,$2.9 million,Consumer Products & Services,Barrington,RI,http://www.inc.com/inc5000/profile/fuel-belt,http://www.fuelbelt.com,"Fuel Belt makes hydration belts and other accessories for the running, cycling, and triathlon markets. Its products are used by all levels of athletes, from amateurs to Olympians, and it can be found at specialty retailers in more than 40 countries.",$2.4 million,10,1997,#205
4407,TeleContact Resource Services,21,$2.7 million,Business Products & Services,Modesto,CA,http://www.inc.com/inc5000/profile/telecontact-resource-services,http://www.econtactlive.com,"TeleContact Resource Services is an inbound and outbound call center specializing in appointment setting, lead generation and market research. Clients include large and small businesses spanning more than 50 different industries across the nation.",$2.2 million,58,1994,#481
4408,Bankers Business Management Services,21,$9.5 million,Business Products & Services,Silver Spring,MD,http://www.inc.com/inc5000/profile/bankers-business-management-services,http://www.bankersbms.com/,"Bankers Business Management Services specializes in local and national mailroom operations and support management, mail distribution, courier and messenger services, unarmed security, shuttle bus operations, parking facility management, and warehousing and storage services.",$7.9 million,187,1982,#482
4409,Tailored Label Products,21,$11 million,Manufacturing,Menomonee Falls,WI,http://www.inc.com/inc5000/profile/tailored-label-products,http://www.tailoredlabel.com,"Tailored Labor Products manufactures custom label and identification products for the electronics, automotive, telecommunications, biomedical, medical equipment, crowd control, and hospital patient control industries.",$9.1 million,61,1984,#174
4410,Arbor-Nomics Turf,21,$4.4 million,Consumer Products & Services,Norcross,GA,http://www.inc.com/inc5000/profile/arbor-nomics-turf,http://www.arbor-nomics.com,"Arbor-Nomics Turf is a lawn, tree, and shrub treatment company for residential and commercial properties. Services include aeration, overseeding, and pest control.",$3.7 million,40,1980,#206
4411,Southeast Media,21,$10.1 million,Advertising & Marketing,Houston,TX,http://www.inc.com/inc5000/profile/southeast-media,http://www.semtx.com,"Southeast Media offers a broad range of marketing, design, and printing services including web design, point-of-sale posters and weekly distribution circulars, as well as vehicle wraps and direct mail pieces.",$8.4 million,53,1999,#377
4412,VitaDigest.com,21,$8.2 million,Health,Walnut,CA,http://www.inc.com/inc5000/profile/vitadigestcom,http://www.vitadigest.com,VitaDigest.com is an online retailer of an expansive selection of nutritional supplements.,$6.8 million,9,2002,#368
4413,CR Software,21,$10.9 million,Software,Fairfax,VA,http://www.inc.com/inc5000/profile/cr-software,http://www.crsoftwareinc.com,CR Software develops and sells specialty software for debt collection agencies.,$9 million,83,1984,#255
4414,Cobble Hill Trailer Sales,21,$4.8 million,Logistics & Transportation,Milton,VT,http://www.inc.com/inc5000/profile/cobble-hill-trailer-sales,http://www.cobblehilltrailersales.com,Cobble Hill Trailer Sales sells new and used trucks and trailers for industrial use.,$4 million,6,2002,#88
4415,Security Management Consulting,21,$3.8 million,Security,Raleigh,NC,http://www.inc.com/inc5000/profile/security-management-consulting,http://www.secmgmt.com,"Security Management Consulting is a security consulting firm for financial institutions, pharmaceutical companies, utility companies, manufacturers and government agencies.",$3.1 million,48,1998,#76
4416,MicroTrain Technologies,21,$5 million,Education,Lombard,IL,http://www.inc.com/inc5000/profile/microtrain-technologies,http://www.microtrain.net,MicroTrain Technologies provides customized instructor-led IT training with an emphasis on technology and management to individuals and corporations.,$4.2 million,42,1999,#68
4417,Preferred Systems Solutions,21,$47.5 million,Government Services,McLean,VA,http://www.inc.com/inc5000/profile/preferred-systems-solutions,http://pssfed.com,"Preferred Systems Solutions is an IT consulting firm specializing in enterprise management services mainly for the government. In April 2009, it acquired Integrated Network Services, a company that develops systems and applications for the intelligence and defense communities.",$39.4 million,176,1991,#326
4418,ClassBook.com,20,$5.6 million,Education,Castleton,NY,http://www.inc.com/inc5000/profile/classbookcom,http://www.classbook.com,ClassBook.com creates and operates custom online bookstores for colleges across the country.,$4.6 million,47,1992,#69
4419,Recurrent Technologies,20,$9 million,Computer Hardware,Santa Clara,CA,http://www.inc.com/inc5000/profile/recurrent-technologies,http://www.recurrent.com,"Recurrent Technologies specializes in the purchase and resale of used computer networking hardware  by Sun Microsystems, Cisco, Juniper, and Foundry Networks. It is also an Authorized Oracle Reseller.",$7.4 million,13,1996,#53
4420,U.S. Diagnostics,20,$5.8 million,Health,Huntsville,AL,http://www.inc.com/inc5000/profile/us-diagnostics,http://www.usdiagnostics.com,U.S. Diagnostics is a wholesaler of drug screening tests to employers.,$4.8 million,21,1998,#369
4421,The Macaluso Group,20,$4.1 million,Health,Fairfield,NJ,http://www.inc.com/inc5000/profile/the-macaluso-group,http://www.macgroupcard.com,"The Macaluso Group creates technology-driven marketing services for pharmaceutical products. Through one of its programs, it has issued more than 9 million pharmaceutical debit cards.",$3.4 million,25,2001,#370
4422,Atrion Networking,20,$36.5 million,IT Services,Warwick,RI,http://www.inc.com/inc5000/profile/atrion-networking,http://www.atrion.net,"Atrion Networking provides technology consultation, project management, manufacturer-certified training, carrier services, telephony, software and application services, equipment procurement, local and wide area networks and managed services.",$30.3 million,151,1987,#548
4423,Facility Wizard Software,20,$2.5 million,Software,Chicago,IL,http://www.inc.com/inc5000/profile/facility-wizard-software,http://www.facilitywizard.com,Facility Wizard Software is an independent software vendor that develops facilities management and real estate lease administration software.,$2.1 million,18,1996,#256
4424,eDimensional,20,$3.5 million,Retail,Jupiter,FL,http://www.inc.com/inc5000/profile/edimensional,http://edimensional.com,"eDimensional develops and sells virtual reality video gaming accessories such as 3D glasses, voice recognition devices, and headsets.",$2.9 million,7,2001,#201
4425,Nielsen-Kellerman,20,$9.2 million,Consumer Products & Services,Boothwyn,PA,http://www.inc.com/inc5000/profile/nielsen-kellerman,http://www.nkhome.com,"Nielsen-Kellerman designs and manufactures durable, waterproof instruments for measuring weather conditions and sports and aviation performance.",$7.7 million,65,1979,#207
4426,Pacific Market International,20,$87.7 million,Consumer Products & Services,Seattle,WA,http://www.inc.com/inc5000/profile/pacific-market-international,http://www.pmi-worldwide.com,"Pacific Market International designs and manufactures innovative food and beverage products such as thermoses, lunch boxes, and mugs, Its two most recognizable brands, Stanley and Aladdin, are both nearly 100 years old, and the company currently holds more than 130 patents.",$72.9 million,163,1983,#208
4427,Unicon International,20,$20.8 million,IT Services,Columbus,OH,http://www.inc.com/inc5000/profile/unicon-international,http://www.unicon-intl.com,Unicon International is an IT consultancy offering staff augmentation and project-based services.,$17.3 million,172,1990,#549
4428,A White Orchid Wedding,20,$2.9 million,Consumer Products & Services,Wailuku,HI,http://www.inc.com/inc5000/profile/a-white-orchid-wedding,http://www.whiteorchidwedding.com,A White Orchid Wedding plans and creates Hawaiian-based wedding events.,$2.4 million,6,1990,#209
4429,Integrated Resources,20,$10 million,Human Resources,Edison,NJ,http://www.inc.com/inc5000/profile/integrated-resources,http://www.irionline.com,"Integrated Resources is a professional staffing firm specializing in contract, consulting and full-time positions in the areas of IT, rehabilitation therapy, clinical research, and nursing.",$8.3 million,83,1996,#109
4430,Return Path,20,$27 million,Advertising & Marketing,New York,NY,http://www.inc.com/inc5000/profile/return-path,http://www.returnpath.net,"Return Path specializes in email deliverability services to assist businesses in marketing through email, web, print, mobile, and social media channels. Its clients include a broad range of industries such as online retailers, publishers, market researchers and catalogers.",$22.5 million,184,1999,#378
4431,"Strategic Staffing Solutions (Detroit, MI)",20,$169 million,IT Services,Detroit,MI,http://www.inc.com/inc5000/profile/strategic-staffing-solutions-detroit-mi,http://www.strategicstaff.com,"Strategic Staffing Solutions provides information technology services and consulting, including staff augmentation, project solutions, and vendor management.",$140.5 million,2267,1990,#550
4432,Villa Fresh Italian Kitchen,20,$96.5 million,Food & Beverage,Morristown,NJ,http://www.inc.com/inc5000/profile/villa-fresh-italian-kitchen,http://www.villapizza.com,Villa Fresh Italian Kitchen has grown from one pizzeria located next to the Ed Sullivan Theater in New York City into an international franchisor of casual and full-service restaurants offering fresh food made daily in 300 locations in 38 states and six countries.,$80.2 million,1780,1964,#133
4433,EDTS,20,$2 million,IT Services,Augusta,GA,http://www.inc.com/inc5000/profile/edts,http://www.edtsolutions.com,"EDTS is a full-service technology consulting firm, specializing in networking, security, and managed services support services for businesses throughout the Southeast.",$1.7 million,25,1999,#551
4434,Emergtech Business Solutions,20,$3.3 million,IT Services,FARMINGTON HILLS,MI,http://www.inc.com/inc5000/profile/emergtech-business-solutions,http://emergtechinc.com,Emergtech Business Solutions specializes in providing information technology services and support to a broad range of companies.,$2.7 million,35,2002,#552
4435,"Bojangles' Restaurants, Inc.",20,$216.1 million,Food & Beverage,Charlotte,NC,http://www.inc.com/inc5000/profile/bojangles-restaurants-inc,http://www.bojangles.com,Bojangles' Restaurants is restaurant chain that centers on southern cuisine.,$179.9 million,4576,1977,#134
4436,Sewell Direct,20,$6.6 million,Computer Hardware,Orem,UT,http://www.inc.com/inc5000/profile/sewell-direct,http://sewelldirect.com,Sewell Direct sells electronic and computer hardware online and was started from a software company.,$5.5 million,24,1989,#54
4437,Clarity Consulting,20,$9.3 million,IT Services,Chicago,IL,http://www.inc.com/inc5000/profile/clarity-consulting,http://www.claritycon.com,Clarity Consulting develops and customizes software applications for global corporations.,$7.8 million,58,1994,#553
4438,Miner El Paso,20,$5 million,Business Products & Services,El Paso,TX,http://www.inc.com/inc5000/profile/miner-el-paso,http://www.minercorp.com,"Miner El Paso sells and services logistics equipment to retail, grocery, warehousing, and manufacturing facilities throughout West Texas, New Mexico, and Mexico.",$4.1 million,6,1999,#483
4439,Prisma Graphic,20,$24 million,Business Products & Services,Phoenix,AZ,http://www.inc.com/inc5000/profile/prisma-graphic,http://www.prismagraphic.com,"Prisma Graphic prints and distributes brochures, books, catalogs, and marketing materials for large corporations.",$20 million,137,1980,#484
4440,"Sheppard, Mullin, Richter & Hampton",20,$361 million,Business Products & Services,Los Angeles,CA,http://www.inc.com/inc5000/profile/sheppard-mullin-richter-hampton,http://www.sheppardmullin.com,"With 11 offices in California, New York, Washington, D.C., and Shanghai, Sheppard, Mullin, Richter & Hampton practices diverse areas of law for clients including CVS Caremark, Exxon Mobile, Northrop Grumman, and PepsiCo. Revenue data were obtained from The American Lawyeris Am Law 200, published in the May and June issues of 2007 and 2010.",$301 million,479,1927,#485
4441,Preferred Care Partners,20,$338.6 million,Health,Miami,FL,http://www.inc.com/inc5000/profile/preferred-care-partners,http://www.mypreferredcare.com,Preferred Care Partners implements Medicare Advantage health plans for senior citizens in the central and south Florida regions.,$282.3 million,280,1998,#371
4442,Verti-Crete,20,$2.1 million,Construction,Sandy,UT,http://www.inc.com/inc5000/profile/verti-crete,http://www.verti-crete.com,"Verti-Crete manufactures and licenses its mold and form system that is used to create precast concrete wall panels that look and feel like real stone masonry. After experimenting with traditional flat pouring, the company realized that the only way to replicate the same molded finish on both sides of a concrete wall was to stand the form up and pour it vertically; hence the name ?Verti-Crete.?",$1.8 million,15,1996,#182
4443,VentureNet,20,$2.7 million,IT Services,Garland,TX,http://www.inc.com/inc5000/profile/venturenet,http://www.vnetinc.com,"VentureNet provides managed IT outsourcing services for medium and small businesses, with a focus on providing network and telephony support.",$2.3 million,15,1990,#554
4444,Lopez Negrete Communications,20,$25.4 million,Advertising & Marketing,Houston,TX,http://www.inc.com/inc5000/profile/lopez-negrete-communications,http://www.lopeznegrete.com,Lopez Negrete Communications helps large corporations market their products to Hispanic consumers.,$21.2 million,170,1985,#379
4445,Traffic and Parking Control,20,$29.4 million,Manufacturing,BROWN DEER,WI,http://www.inc.com/inc5000/profile/traffic-and-parking-control,http://www. tapconet.com,"Traffic and Parking Control manufactures eco-friendly traffic and parking control products, including solar-powered traffic signals and flashing beacons.",$24.5 million,115,1956,#175
4446,Miner Houston,20,$5.2 million,Business Products & Services,Houston,TX,http://www.inc.com/inc5000/profile/miner-houston,http://www.minercorp.com,"Miner Houston sells and services logistics equipment to retail, grocery, warehousing, and manufacturing facilities throughout Southeast Texas.",$4.3 million,12,2000,#486
4447,Crescent City Packaging,20,$3.5 million,Manufacturing,New Orleans,LA,http://www.inc.com/inc5000/profile/crescent-city-packaging,http://crescentcitypackaging.com,"Crescent City Packaging makes custom packaging materials, such as corrugated boxes and specialty die-cut and coated folding boxes, and also offers distribution, warehousing, and fulfillment.",$2.9 million,15,2000,#176
4448,Keating Magee Marketing Communications,20,$8.5 million,Advertising & Marketing,New Orleans,LA,http://www.inc.com/inc5000/profile/keating-magee-marketing-communications,http://www.keatingmagee.com,"Keating Magee Marketing Communications offers advertising, marketing, branding, and PR services, especially in New Orleans and the Gulf Coast region.",$7.1 million,11,1981,#380
4449,A.B. Data,20,$45.3 million,Business Products & Services,Milwaukee,WI,http://www.inc.com/inc5000/profile/ab-data,http://www.abdata.com,"A.B. Data specializes in direct marketing, targeted fundraising communications, class-action administration, and other direct communication services for businesses.",$37.9 million,286,1981,#487
4450,"Shook, Hardy & Bacon",20,$336.5 million,Business Products & Services,Kansas City,MO,http://www.inc.com/inc5000/profile/shook-hardy-bacon,http://www.shb.com,"Serving clients in nearly 40 different areas of law practice, Shook, Hardy & Bacon has extensive experience in high-stakes, complex litigation and scientific and technical expertise in emerging global legal trends such as climate change, nanotechnology, and pressures on global water supplies. In addition, the firm is renowned for its expertise in tort reform; its members have been involved in virtually every major legislative effort involving civil justice reform at the state and federal levels over the past two decades. SHB has also developed a strong corporate and transactional presence in such areas as corporate compliance, real estate, tax, mergers and acquisitions, and financial services. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$281 million,486,1889,#488
4451,Performance Media Group,20,$7.7 million,Media,Westampton,NJ,http://www.inc.com/inc5000/profile/performance-media-group,http://www.travelpulse.com,"Performance Media Group publishes several websites that provide news and analysis, product information, business information, training, and virtual seminars for the travel industry.",$6.5 million,36,2002,#53
4452,Williams Mullen,20,$134 million,Business Products & Services,Richmond,VA,http://www.inc.com/inc5000/profile/williams-mullen,http://www.williamsmullen.com,"With offices in North Carolina, Virginia, Washington, D.C., and London, Williams Mullen provides comprehensive legal services to regional, national, and international clients in more than 30 practice areas. Clients include multinational corporations, private family-owned businesses, nonprofit organizations, and government entities.  Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$112 million,281,1909,#489
4453,ICSN,20,$9 million,Manufacturing,Corona,CA,http://www.inc.com/inc5000/profile/icsn,http://www.icsngroup.com,ICSN helps OEM companies develop and engineer prototype products and outsource manufacturing of those products.,$7.5 million,68,2000,#177
4454,GMI,20,$25.8 million,Business Products & Services,San Diego,CA,http://www.inc.com/inc5000/profile/gmi,http://www.gmiweb.com,"GMI provides facility services including security, janitorial, and construction maintenance.",$21.6 million,759,1972,#490
4455,Douglas Dynamics,20,$174.3 million,Manufacturing,Milwaukee,WI,http://www.inc.com/inc5000/profile/douglas-dynamics,http://www.douglasdynamics.com,"Douglas Dynamics manufactures and distributes snowplows and ice control equipment under the brand names Fisher Engineering, Western Products, and Blizzard Snowplows.",$145.8 million,562,1948,#178
4456,Winder Farms,20,$30.7 million,Food & Beverage,West Valley City,UT,http://www.inc.com/inc5000/profile/winder-farms,http://www.winderfarms.com,"A family-owned and operated farmers market on wheels, Winder Farms (formerly Winder Dairy) has been in continuous operation for the last 130 years. It offers the convenience of weekly home delivery of dairy products, fruits and vegetables, natural and organic meats, entree items, and specialty foods to thousands of Utah residents. Members of the fifth and sixth generations of the Winder family are today involved in its daily operation.",$25.7 million,254,1880,#135
4457,All Sensors Corporation,19,$7.4 million,Manufacturing,Morgan Hill,CA,http://www.inc.com/inc5000/profile/all-sensors-corporation,http://www.allsensors.com,"All Sensors manufactures medical instrumentation, UAV electronics, flow sensors, and HVAC electronic controls.",$6.2 million,26,1999,#179
4458,Dynamic Systems,19,$70.1 million,IT Services,Los Angeles,CA,http://www.inc.com/inc5000/profile/dynamic-systems,http://www.dynamicsystemsinc.com,"Dynamic Systems helps its federal government and corporate customers move, manage, and protect their data enterprise-wide. Carlos Stygar and Mardi Norman began the venture as a technical writing company.",$58.7 million,41,1991,#555
4459,Gersh Academy,19,$5.1 million,Education,Melville,NY,http://www.inc.com/inc5000/profile/gersh-academy,http://www.gershacademy.org,Gersh Academy is a private special education school that provides customized education to students with autism and other neurobiological disorders.,$4.3 million,61,1999,#70
4460,Coler & Colantonio,19,$23.8 million,Engineering,Norwell,MA,http://www.inc.com/inc5000/profile/coler-colantonio,http://www.col-col.com,"Coler & Colantonio provides construction, engineering, and environmental services, including: the construction of energy corridors; the development of asset management software for major energy purveyors; the engineering and construction of major commercial outlets; the redevelopment of brownfields into beneficial uses; the development of alternative energy projects; and innovative environmental and energy projects around the world.",$20 million,180,1986,#92
4461,Meridian Imaging Solutions,19,$19.9 million,Business Products & Services,Alexandria,VA,http://www.inc.com/inc5000/profile/meridian-imaging-solutions,http://www.meridian-imaging.com,"Meridian Imaging Solutions sells copiers, printers, scanners, fax machines, and related products to mid-size and large companies in the Washington, D.C. area.",$16.6 million,79,1995,#491
4462,GolfTEC Enterprises,19,$13.2 million,Consumer Products & Services,Centennial,CO,http://www.inc.com/inc5000/profile/golftec-enterprises,http://www.golftec.com,GolfTEC Enterprises offers services to help players of all ages and abilities to play their best golf. Services include swing evaluation and personal club fitting.,$11.1 million,126,1995,#210
4463,PLCs Plus International,19,$6.5 million,Engineering,Bakersfield,CA,http://www.inc.com/inc5000/profile/plcs-plus-international,http://bkppi.com,"PLCs Plus International engineers, designs, installs, programs, and integrates industrial control and automation technology for manufacturers.",$5.4 million,49,1998,#93
4464,Amnet Technology Solutions,19,$3.1 million,IT Services,Stamford,CT,http://www.inc.com/inc5000/profile/amnet-technology-solutions,http://www.amnetsystems.com,"Amnet Technology Solutions specializes in high definition video teleconferencing and managed IT services. The company designs, implements and maintains HD video teleconferencing services ranging from small mobile units to large scale integrated fixed room systems.",$2.6 million,22,1995,#556
4465,Alston & Bird,19,$551 million,Business Products & Services,Atlanta,GA,http://www.inc.com/inc5000/profile/alston-bird,http://www.alston.com,"Alston & Bird provides an extensive array of services covering legal and industry specialties for corporate clients throughout the world. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$462 million,820,1893,#492
4466,Aquire,19,$8.8 million,Software,Irving,TX,http://www.inc.com/inc5000/profile/aquire,http://www.aquire.com,"Aquire develops organizational, analysis, and management software that helps businesses improve operational efficiences.",$7.4 million,64,1994,#257
4467,MVS,19,$10.4 million,Government Services,Washington,DC,http://www.inc.com/inc5000/profile/mvs,http://www.mvsconsulting.com,"MVS provides IT services to federal, state and local government agencies.",$8.7 million,35,1997,#327
4468,RPA Engineering,19,$8.6 million,Engineering,Wyomissing,PA,http://www.inc.com/inc5000/profile/rpa-engineering,http://rpaengr.com,RPA Engineering provides engineering and design services.  Its projects range from short-term studies to long-term design and complete engineering projects.,$7.2 million,83,1989,#94
4469,APCO Worldwide,19,$100.3 million,Advertising & Marketing,Washington,DC,http://www.inc.com/inc5000/profile/apco-worldwide,http://www.apcoworldwide.com,"APCO Worldwide counsels clients in public affairs, communications, and any matters that can affect their business and reputation, such as industry regulations, antitrust, litigation, recovery from bankruptcy, restructuring, or other crises, and relations with the media, government, and investors.",$84.1 million,507,1984,#381
4470,ProfitFuel,19,$6.9 million,Advertising & Marketing,Austin,TX,http://www.inc.com/inc5000/profile/profitfuel,http://www.profitfuel.com,ProfitFuel designs and manages online marketing campaigns for small businesses.,$5.8 million,100,2002,#382
4471,Orbit Systems,19,$8.5 million,IT Services,Eagan,MN,http://www.inc.com/inc5000/profile/orbit-systems,http://www.orbits.net,Orbit Systems provides managed IT services to small to mid-size companies headquartered in the Twin Cites.,$7.1 million,59,1999,#557
4472,TBJ,19,$3.7 million,Health,Chambersburg,PA,http://www.inc.com/inc5000/profile/tbj,http://www.tbjinc.com,"TBJ designs and fabricates workstations and associated equipment for the laboratory, research, and pharmaceutical industries.",$3.1 million,18,1992,#372
4473,Dagher Engineering,19,$3 million,Engineering,New York,NY,http://www.inc.com/inc5000/profile/dagher-engineering,http://www.dagherengineering.com,"Dagher Engineering specializes in mechanical, electrical, plumbing/fire-protection, sustainable design and consulting for new construction, renovations and adaptive re-use projects.",$2.5 million,23,2000,#95
